4 Nov 2019

(1572909597, 4970, 31.963669, 34.802869, 45.9, 4971, 44.11)
(1572909599, 10120, 22.536593, 114.210621, 47.48, 10121, 46.06)
(1572909573, 4954, 32.11094, 34.808292, 47.8, 4955, 47.27)
(1572909644, 8438, 32.709913, -117.142679, 48.47, 8439, 43.35)
(1572909567, 10052, 0.581025, 101.43816, 48.85, 10053, 48.02)
(1571920194, 9520, 10.773888, 106.660865, 49.46, 9521, 52.99)
(1572888221, 6178, 33.833596, -118.189323, 51.18, 6179, 50.39)
(1572909581, 3004, 32.084316, 34.78255, 53.36, 3005, 48.58)
(1572909621, 10060, 35.239301, 126.830919, 54.29, 10061, 49.92)
(1572909567, 1314, 49.489131, -123.750005, 55.83, 1315, 55.46)
(1572909582, 35898, 12.938894, 77.62314, 64.06, 35899, 62.17)
(1572909560, 11722, 30.738272, 76.755506, 69.05, 11723, 59.7)
(1572909544, 35906, 13.029961, 77.563043, 69.09, 35907, 69.4)
(1572909562, 32718, 13.048835, 77.581637, 73.22, 32719, 80.8)
(1572579866, 11220, 32.654639, -115.525922, 92.05, 11221, 92.58)
(1572909632, 11066, 1.319427, 103.880975, 100.31, 11067, 99.26)
(1572880760, 11252, 32.616286, -115.457818, 143.76, 11253, 142.5)
(1572909655, 11712, 25.039121, 83.597089, 287.57, 11713, 332.7)
(1572909550, 11710, 28.546516, 77.190743, 303.78, 11711, 311.14)
(1572909589, 11716, 28.5918, 77.2231, 386.08, 11717, 438.36)

5 Nov 2019

(1573004352, 1310, 49.480811, -123.884113, 58.16, 1311, 62.9)
(1573004302, 10060, 35.239301, 126.830919, 58.66, 10061, 53.23)
(1573004340, 11246, 32.512194, -114.918705, 58.81, 11247, 57.61)
(1573004381, 11368, 6.159343, -75.608756, 58.93, 11369, 65.25)
(1573004384, 10052, 0.581025, 101.43816, 59.2, 10053, 56.92)
(1573004339, 10046, 35.243622, 126.830182, 60.94, 10047, 60.75)
(1573004327, 11258, 32.604334, -115.4941, 62.91, 11259, 68.21)
(1573004311, 11206, 32.552071, -115.066144, 67.3, 11207, 59.34)
(1573004298, 11764, 32.667516, -115.408833, 67.69, 11765, 59.05)
(1573004283, 1854, 33.999503, -117.416022, 67.83, 1855, 42.87)
(1573004346, 6588, 53.503541, -2.31288, 74.41, 6589, 79.7)
(1573004275, 35906, 13.029961, 77.563043, 75.88, 35907, 99.77)
(1573004390, 11716, 28.5918, 77.2231, 88.5, 11717, 103.94)
(1572579866, 11220, 32.654639, -115.525922, 92.05, 11221, 92.58)
(1573004361, 32718, 13.048835, 77.581637, 98.97, 32719, 106.72)
(1573004351, 11710, 28.546516, 77.190743, 107.05, 11711, 108.23)
(1572974723, 20378, 42.82766, 74.586895, 109.83, 20379, 116.76)
(1573004395, 35898, 12.938894, 77.62314, 115.09, 35899, 121.46)
(1573004309, 11424, 38.660985, -121.732626, 155.55, 11425, 167.45)
(1573003020, 11712, 25.039121, 83.597089, 180.92, 11713, 200.79)

7 Nov 2019

(1573181445, 11678, 32.633985, -115.390135, 57.81, 11679, 63.4)
(1573181453, 5966, 48.114061, -123.444095, 59.01, 5967, 74.63)
(1573181436, 2632, 34.024327, -118.426688, 60.5, 2633, 50.0)
(1573181511, 35898, 12.938894, 77.62314, 60.5, 35899, 115.95)
(1573181482, 32718, 13.048835, 77.581637, 62.92, 32719, 68.5)
(1573181427, 11258, 32.604334, -115.4941, 66.85, 11259, 67.88)
(1573008179, 10046, 35.243622, 126.830182, 67.44, 10047, 67.37)
(1573181500, 35906, 13.029961, 77.563043, 71.94, 35907, 74.71)
(1573181527, 11232, 32.599796, -115.50465, 72.44, 11233, 75.06)
(1573181466, 12138, 32.620718, -115.516665, 72.58, 12139, 63.98)
(1573181446, 11272, 32.587591, -115.5687, 86.57, 11273, 69.07)
(1573181426, 11178, 51.672674, 19.406061, 91.9, 11179, 75.75)
(1572579866, 11220, 32.654639, -115.525922, 92.05, 11221, 92.58)
(1573181470, 6476, 40.473287, -111.247671, 98.38, 6477, 104.87)
(1573181526, 1854, 33.999503, -117.416022, 107.98, 1855, 45.69)
(1572974723, 20378, 42.82766, 74.586895, 109.83, 20379, 116.76)
(1573181503, 5236, 37.795963, -122.266754, 140.8, 5237, 36.24)
(1573181505, 11716, 28.5918, 77.2231, 141.88, 11717, 167.03)
(1573181520, 11710, 28.546516, 77.190743, 181.68, 11711, 187.17)
(1573181109, 11712, 25.039121, 83.597089, 296.75, 11713, 331.03)

10 Nov 2019

(1573426635, 11712, 25.039121, 83.597089, 95.27, 11713, 100.36)
(1573426719, 35898, 12.938894, 77.62314, 96.01, 35899, 84.27)
(1572974723, 20378, 42.82766, 74.586895, 109.83, 20379, 116.76)
(1573426661, 11722, 30.738272, 76.755506, 131.77, 11723, 111.89)
(1573426666, 5236, 37.795963, -122.266754, 140.8, 5237, 36.86)
(1573426700, 2568, -27.567055, 153.097767, 187.98, 2569, 184.59)
(1573426727, 11710, 28.546516, 77.190743, 192.2, 11711, 197.92)
(1573426611, 11650, -27.499272, 153.003966, 195.9, 11651, 185.1)
(1573426714, 8642, -27.469652, 153.146625, 213.2, 8643, 215.3)
(1573426707, 8624, -27.468518, 153.166118, 239.85, 8625, 225.94)
(1573426627, 11716, 28.5918, 77.2231, 302.16, 11717, 355.88)
(1573426670, 1738, -30.496605, 151.660597, 381.29, 1739, 386.25)
(1573426722, 1720, -30.516705, 151.657407, 495.73, 1721, 478.69)
(1573426643, 10452, -30.508542, 151.661741, 549.32, 10453, 627.61)
(1573426724, 1732, -30.515002, 151.659095, 562.44, 1733, 489.26)
(1573426669, 11578, -30.514388, 151.666435, 563.63, 11579, 654.66)
(1573426696, 10424, -30.52116, 151.666111, 577.95, 10425, 659.12)
(1573426724, 10476, -30.508505, 151.661677, 611.26, 10477, 593.79)
(1573426708, 10472, -30.516961, 151.659181, 657.7, 10473, 759.92)
(1573426674, 11670, -30.516246, 151.66651, 666.32, 11671, 657.26)
